Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
7600000.0,Toyota,Vitz,Safety Edition,2016,Used,Automatic,Hatchback,Petrol,1000.0,62000.0
3875000.0,Perodua,Viva Elite,,2010,Used,Manual,Hatchback,Petrol,1000.0,80700.0
8200000.0,Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,998.0,51160.0
9500000.0,Toyota,Axio,Hybrid G Grade,2014,Used,Automatic,Saloon,Hybrid,1499.0,132000.0
10700000.0,Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,1800.0,132000.0
3470000.0,Suzuki,Alto,,2003,Used,Automatic,Hatchback,Petrol,680.0,120000.0
13800000.0,Mitsubishi,Outlander,Fully Loaded,2016,Used,Tiptronic,SUV / 4x4,Petrol,2400.0,154000.0
6370000.0,Suzuki,Grand Vitara,Escudo,2005,Used,Automatic,SUV / 4x4,Petrol,2000.0,163000.0
6595000.0,Toyota,Passo,G Grade,2016,Used,Automatic,Hatchback,Petrol,1000.0,72000.0
8000000.0,Hyundai,Tucson,,2012,Used,Automatic,,Diesel,2000.0,174000.0
5390000.0,Suzuki,Swift, Style Edition,2009,Used,Automatic,Hatchback,Petrol,1300.0,180000.0
3400000.0,Micro,Panda,,2017,Used,Manual,Hatchback,Petrol,1000.0,64000.0
4250000.0,Toyota,Starlet,Toyota,1996,Used,Automatic,Hatchback,Petrol,1300.0,220000.0
2625000.0,Hyundai,Accent,Facelift Hatchback,2003,Used,Manual,Hatchback,Petrol,1341.0,165500.0
32850000.0,Land Rover,Discovery,4S low Kms 1ST Mint,2015,Used,Automatic,SUV / 4x4,Diesel,3000.0,100000.0
25500000.0,Mercedes Benz,C200,AMG Line,2019,Used,Automatic,Saloon,Petrol,1500.0,39000.0
25250000.0,Toyota,Crown,Royal Saloon ,2014,Used,Tiptronic,Saloon,Hybrid,2500.0,102000.0
6150000.0,Suzuki,Wagon R FX,2017,2017,Used,Automatic,Hatchback,Hybrid,660.0,78000.0
3075000.0,Perodua,Kelisa,2003,2003,Used,Automatic,Hatchback,Petrol,989.0,118649.0
5300000.0,Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,1000.0,152000.0
56500000.0,Toyota,Land Cruiser Sahara,V8 ZX,2015,Used,Tiptronic,SUV / 4x4,Petrol,4500.0,134000.0
5100000.0,Nissan,Tiida,Latio,2010,Used,Automatic,Saloon,Petrol,1500.0,201000.0
5500000.0,Toyota,Passo,,2008,Used,Automatic,,Petrol,1000.0,110000.0
5850000.0,Suzuki,Hustler,,2015,Used,Automatic,Hatchback,Hybrid,650.0,125000.0
2700000.0,Toyota,Corolla,DX,1997,Used,Automatic,Station wagon,Diesel,2000.0,390000.0
14000000.0,Audi,Q3,,2016,Used,Automatic,SUV / 4x4,Petrol,1600.0,100000.0
12000000.0,Land Rover,Freelander,2 Td4 2013,2013,Used,Automatic,,Diesel,2200.0,64430.0
3890000.0,Kia,Cerato,Kia Certo,2005,Used,Automatic,Saloon,Petrol,1600.0,186000.0
6350000.0,Toyota,Belta,2009,2009,Used,Automatic,,Petrol,1000.0,177000.0
4950000.0,Subaru,Legacy,B4 Wagon,2000,Used,Manual,Station wagon,Petrol,2000.0,135000.0
23900000.0,BMW,318i,M Sport,2018,Used,Tiptronic,Saloon,Petrol,1500.0,39500.0
33500000.0,Toyota,Land Cruiser Prado,,2014,Used,Automatic,SUV / 4x4,Petrol,2700.0,88000.0
3080000.0,Nissan,Wingroad,,1999,Used,Manual,Station wagon,Petrol,1490.0,225000.0
29285000.0,Mercedes Benz,C200,AMG HIGHEST SPEC,2020,Used,Automatic,Saloon,Petrol,1500.0,14000.0
6750000.0,Land Rover,Defender,,1982,Used,Manual,MPV,Diesel,3000.0,136225.0
18400000.0,Mercedes Benz,CLA 200,BENZ CLA220 Exchange,2013,Used,Automatic,Saloon,Diesel,2000.0,108000.0
7000000.0,Kia,Rio,Full Option Import,2015,Used,Automatic,Saloon,Petrol,1400.0,16502.0
9500000.0,Toyota,Allion,Allion NTZ 260,2008,Used,Automatic,Saloon,Petrol,1500.0,84400.0
11200000.0,Kia,Sorento,CRDI 1-14 Option ,2012,Used,Automatic,SUV / 4x4,Diesel,2200.0,168000.0
19800000.0,Mercedes Benz,S350,LWB,2011,Used,Tiptronic,Saloon,Petrol,3500.0,166000.0
5300000.0,Nissan,X-Trail,NT 30,2002,Used,Automatic,SUV / 4x4,Petrol,1980.0,200000.0
4300000.0,Toyota,Corolla,,1997,Used,Automatic,Saloon,Petrol,1498.0,237000.0
13000000.0,BMW,530d,Msport,2006,Used,Manual,Saloon,Diesel,3000.0,105000.0
25500000.0,Nissan,Patrol,GRX 4X4,2011,Used,Tiptronic,SUV / 4x4,Diesel,3000.0,284000.0
4200000.0,Toyota,Passo,,2004,Used,Automatic,Hatchback,Petrol,1000.0,100000.0
6800000.0,Suzuki,Wagon R,Wagon R Premium,2018,Used,Automatic,Hatchback,Hybrid,658.0,62800.0
25000000.0,Land Rover,Defender,Puma,2012,Used,Manual,SUV / 4x4,Diesel,2402.0,88600.0
12950000.0,Toyota,Premio,G Superior,2015,Used,Automatic,Saloon,Petrol,1500.0,200000.0
8200000.0,Toyota,Aqua,2016,2016,Used,Automatic,Hatchback,Hybrid,1500.0,186500.0
5900000.0,Nissan,Navara,LE,2010,Used,Automatic,SUV / 4x4,Diesel,3.0,188000.0
3375000.0,Datsun,Redi Go,,2016,Used,Manual,Hatchback,Petrol,800.0,115000.0
12250000.0,Honda,CRV,,2013,Used,Automatic,,Petrol,1990.0,169000.0
21500000.0,Toyota,Hilux,2.8L 4WD Double Cab,2025,Used,Automatic,SUV / 4x4,Diesel,2800.0,33.0
3875000.0,Hyundai,Eon,MAGNA ,2016,Used,Manual,Hatchback,Petrol,800.0,80000.0
56000000.0,Toyota,Land Cruiser Prado,LC 250,2024,Used,Automatic,SUV / 4x4,Petrol,2777.0,3200.0
6850000.0,Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,1000.0,160000.0
35500000.0,Toyota,Land Cruiser Prado,TX - Fully Loaded ,2015,Used,Automatic,SUV / 4x4,Petrol,2700.0,85000.0
27850000.0,Honda,CRV,Cr-V Vti Exchange,2024,Used,Automatic,SUV / 4x4,Petrol,1500.0,8400.0
17050000.0,Honda,CRV,VTIL 7 Seater Turbo,2018,Used,Automatic,SUV / 4x4,Petrol,1500.0,112716.0
9900000.0,Suzuki,Vitara,,2019,Used,Automatic,SUV / 4x4,Petrol,1000.0,89900.0
5775000.0,Toyota,Belta,,2008,Used,Automatic,Saloon,Petrol,1300.0,165000.0
18790000.0,Mercedes Benz,CLA 180,BENZ CLA 180 AMG,2017,Used,Automatic,Saloon,Petrol,1600.0,94500.0
4475000.0,Suzuki,A-Star,,2012,Used,Automatic,Hatchback,Petrol,1000.0,87000.0
4500000.0,Mercedes Benz,C180,1993,1993,Used,Automatic,Saloon,Petrol,1800.0,120000.0
7900000.0,DFSK,Glory,580 Higest spec,2019,Used,Automatic,SUV / 4x4,Petrol,1500.0,69000.0
4175000.0,Hyundai,Eon,MAGNA PLUS ,2017,Used,Manual,Hatchback,Petrol,800.0,69000.0
13000000.0,Toyota,Vanguard,,2012,Used,Tiptronic,SUV / 4x4,Petrol,2400.0,238000.0
1925000.0,Suzuki,Maruti,Maruti,2005,Used,Manual,Hatchback,Petrol,800.0,65321.0
16900000.0,Honda,CRV,MASTERPIECE ,2019,Used,Automatic,SUV / 4x4,Petrol,1500.0,130000.0
11790000.0,Toyota,Hilux,Double Cab Auto,2007,Used,Automatic,SUV / 4x4,Diesel,3000.0,157000.0
6650000.0,Toyota,Passo,,2017,Used,Automatic,Hatchback,Petrol,1000.0,80000.0
4975000.0,Kia,Sportage,SUV,2006,Used,Automatic,SUV / 4x4,Petrol,2000.0,165000.0
6000000.0,Suzuki,Wagon R FZ,,2016,Used,Automatic,Hatchback,Petrol,650.0,89000.0
16790000.0,Toyota,Land Cruiser Prado,Prado 120,2007,Used,Manual,SUV / 4x4,Diesel,3000.0,195000.0
6390000.0,Suzuki,Wagon R FZ,Wagon R Fz Safety,2017,Used,Automatic,Hatchback,Hybrid,660.0,122000.0
2500000.0,Nissan,Pulsar,,2001,Used,Automatic,,Diesel,1200.0,240000.0
14000000.0,Micro,Almaz,Wuling,2023,Used,Automatic,SUV / 4x4,Petrol,1500.0,19500.0
46500000.0,Toyota,Land Cruiser Prado,Sahara V8,2011,Used,Automatic,SUV / 4x4,Diesel,4500.0,181512.0
6380000.0,Honda,Fit,GP1 Navi Premium,2012,Used,Automatic,Hatchback,Petrol,1330.0,120000.0
17250000.0,Honda,CRV,2018,2018,Used,Automatic,SUV / 4x4,Petrol,1500.0,84000.0
26700000.0,Mitsubishi,Montero,Diesel-7 seater-Auto,2013,Used,Automatic,,Diesel,3200.0,25000.0
4990000.0,Suzuki,Swift,SWIFT JAPAN 1300,2006,Used,Automatic,Hatchback,Petrol,1300.0,142147.0
10890000.0,Toyota,Raize,RAIZE HIGH SPEC,2020,Used,Automatic,Hatchback,Petrol,1000.0,98452.0
5390000.0,Suzuki,Wagon R FZ,SAFETY PUSH 2016,2015,Used,Automatic,Hatchback,Hybrid,650.0,108542.0
13550000.0,Ford,Raptor Ranger,Raptor Ranger,2015,Used,Manual,SUV / 4x4,Diesel,3200.0,136521.0
43000000.0,Land Rover,Range Rover Sport,Range Rover Sport,2017,Used,Automatic,SUV / 4x4,Diesel,2000.0,53214.0
3790000.0,Chevrolet,Cruze,CENTRE ANTENNA,2003,Used,Automatic,Hatchback,Petrol,1300.0,118087.0
41495000.0,Toyota,Land Cruiser Prado,150 TX L G FRONTIER ,2017,Used,Tiptronic,SUV / 4x4,Petrol,2700.0,39000.0
7300000.0,Toyota,Vitz,2016,2016,Used,Automatic,Hatchback,Petrol,1000.0,86000.0
53000000.0,Toyota,Land Cruiser Sahara,ZX V8,2015,Used,Automatic,SUV / 4x4,Petrol,4600.0,138000.0
