Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
10700000.0,Toyota,Premio,G Superior,2013,Automatic,Saloon,Petrol,1800.0,132000.0
3470000.0,Suzuki,Alto,Unknown,2003,Automatic,Hatchback,Petrol,680.0,120000.0
13800000.0,Mitsubishi,Outlander,Fully Loaded,2016,Tiptronic,Suv / 4X4,Petrol,2400.0,154000.0
6370000.0,Suzuki,Grand Vitara,Escudo,2005,Automatic,Suv / 4X4,Petrol,2000.0,163000.0
6595000.0,Toyota,Passo,G Grade,2016,Automatic,Hatchback,Petrol,1000.0,72000.0
8000000.0,Hyundai,Tucson,Unknown,2012,Automatic,Unknown,Diesel,2000.0,174000.0
5390000.0,Suzuki,Swift,Style Edition,2009,Automatic,Hatchback,Petrol,1300.0,180000.0
3400000.0,Micro,Panda,Unknown,2017,Manual,Hatchback,Petrol,1000.0,64000.0
4250000.0,Toyota,Starlet,Toyota,1996,Automatic,Hatchback,Petrol,1300.0,220000.0
2625000.0,Hyundai,Accent,Facelift Hatchback,2003,Manual,Hatchback,Petrol,1341.0,165500.0
32850000.0,Land Rover,Discovery,4S Low Kms 1St Mint,2015,Automatic,Suv / 4X4,Diesel,3000.0,100000.0
25500000.0,Mercedes Benz,C200,Amg Line,2019,Automatic,Saloon,Petrol,1500.0,39000.0
25250000.0,Toyota,Crown,Royal Saloon,2014,Tiptronic,Saloon,Hybrid,2500.0,102000.0
6150000.0,Suzuki,Wagon R Fx,2017,2017,Automatic,Hatchback,Hybrid,660.0,78000.0
3075000.0,Perodua,Kelisa,2003,2003,Automatic,Hatchback,Petrol,989.0,118649.0
5300000.0,Toyota,Vitz,Unknown,2007,Automatic,Hatchback,Petrol,1000.0,152000.0
56500000.0,Toyota,Land Cruiser Sahara,V8 Zx,2015,Tiptronic,Suv / 4X4,Petrol,4500.0,134000.0
5100000.0,Nissan,Tiida,Latio,2010,Automatic,Saloon,Petrol,1500.0,201000.0
5500000.0,Toyota,Passo,Unknown,2008,Automatic,Unknown,Petrol,1000.0,110000.0
5850000.0,Suzuki,Hustler,Unknown,2015,Automatic,Hatchback,Hybrid,650.0,125000.0
2700000.0,Toyota,Corolla,Dx,1997,Automatic,Station Wagon,Diesel,2000.0,390000.0
14000000.0,Audi,Q3,Unknown,2016,Automatic,Suv / 4X4,Petrol,1600.0,100000.0
12000000.0,Land Rover,Freelander,2 Td4 2013,2013,Automatic,Unknown,Diesel,2200.0,64430.0
3890000.0,Kia,Cerato,Kia Certo,2005,Automatic,Saloon,Petrol,1600.0,186000.0
6350000.0,Toyota,Belta,2009,2009,Automatic,Unknown,Petrol,1000.0,177000.0
4950000.0,Subaru,Legacy,B4 Wagon,2000,Manual,Station Wagon,Petrol,2000.0,135000.0
23900000.0,Bmw,318I,M Sport,2018,Tiptronic,Saloon,Petrol,1500.0,39500.0
33500000.0,Toyota,Land Cruiser Prado,Unknown,2014,Automatic,Suv / 4X4,Petrol,2700.0,88000.0
3080000.0,Nissan,Wingroad,Unknown,1999,Manual,Station Wagon,Petrol,1490.0,225000.0
29285000.0,Mercedes Benz,C200,Amg Highest Spec,2020,Automatic,Saloon,Petrol,1500.0,14000.0
18400000.0,Mercedes Benz,Cla 200,Benz Cla220 Exchange,2013,Automatic,Saloon,Diesel,2000.0,108000.0
7000000.0,Kia,Rio,Full Option Import,2015,Automatic,Saloon,Petrol,1400.0,16502.0
9500000.0,Toyota,Allion,Allion Ntz 260,2008,Automatic,Saloon,Petrol,1500.0,84400.0
11200000.0,Kia,Sorento,Crdi 1-14 Option,2012,Automatic,Suv / 4X4,Diesel,2200.0,168000.0
19800000.0,Mercedes Benz,S350,Lwb,2011,Tiptronic,Saloon,Petrol,3500.0,166000.0
5300000.0,Nissan,X-Trail,Nt 30,2002,Automatic,Suv / 4X4,Petrol,1980.0,200000.0
4300000.0,Toyota,Corolla,Unknown,1997,Automatic,Saloon,Petrol,1498.0,237000.0
13000000.0,Bmw,530D,Msport,2006,Manual,Saloon,Diesel,3000.0,105000.0
25500000.0,Nissan,Patrol,Grx 4X4,2011,Tiptronic,Suv / 4X4,Diesel,3000.0,284000.0
4200000.0,Toyota,Passo,Unknown,2004,Automatic,Hatchback,Petrol,1000.0,100000.0
6800000.0,Suzuki,Wagon R,Wagon R Premium,2018,Automatic,Hatchback,Hybrid,658.0,62800.0
25000000.0,Land Rover,Defender,Puma,2012,Manual,Suv / 4X4,Diesel,2402.0,88600.0
